Project Name,Country (Detailed),Country (Condensed),Country ISO 3166-1,MultiCountry,Stage,Payments Ceiling - Numeric,Outcome Payments Ceiling,OPC Ceiling Currency,Non-USD,Stage - Notes,Launch Date,Project Development Time,Expected Lengths  In Years,Project Design Began - Date,Why Outcome Based Finance,Key Challenge Assertion,Domestic Gov Funds Project?,Domestic Gov Provides Services?,Domestic Gov On Steering Committee?,Domestic Gov No Formal Role?,Other Role Domestic Gov,Other Gov Role Notes,Feasibility study - (Value),Technical Assistant Grant?,General Finance Notes,Social Dev Challenge,Intervention Model,SDG Mapping,Target Pop Description,Target Pop Size Est,Beneficiaries Description,Beneficiaries - Notes,,
A social outcomes contract in Ireland,Ireland,Ireland,IE,,Scoping,,,,,,Q3 - 2022,6-12 months,Too early to say,Feasibility Study began in Q4 2020. Design of a pilot SOC will be from Q2 2021 onwards.,Too early to say,Too early to say,Yes,No,No,No,,,Yes,Yes,,Too early to say,Too early to say,,Too early to say,Too early to say,,,,
Employment promotion for single mothers,Israel,Israel,IL,,Final negotiations,,,,,,,,,,,,,,,,"The government, and in particular the labor arm, are the payer for the results of the project. In addition, they were a full partner in the development of the project - understanding and refining the social problem, building the intervention model and building the outcome indices and measurement model",,,,,"Exploiting the earning capacity of single mothers - increasing labor productivity and their employment rates. In addition, the project aims to address the difficulties that this population experienced as a result of the corona crisis (data in Israel show that women were affected by the crisis more than men, with single parents being particularly affected - about a quarter of the single parents who were employed before the crisis were fired)","Hybrid trainings that will be performed mainly remotely, for occupations with an employment horizon that enable flexible employment (work from home, work as a self-employed person, etc.). The training will be carried out together with employers from the first stage, and emphasis will be placed on accompaniment and assistance in finding a job. In addition, the trainings will strengthen the search skills and job advancement of the participants, as well as work to strengthen the participants' sense of ability, and self-confidence.",5,Parents of independent families (ie single mothers and fathers) with a maximum age of the youngest child 18,800,,"We expect that the project will have 800 participants, which will be divided into about 35 training groups",,
Integration of the Arab population in high-tech,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,Pays for results and partner in project development,,,,,"Integrating the Arab population in the high-tech industry in Israel by increasing the flow of people accessing high-tech professions, reducing dropouts from higher education and assisting in finding a high-tech student job during the degree","Accompanying participants in the first year of the degree - small study groups, marathons before exams, strengthening Hebrew and English skills, assistance in preparing for interviews and finding a student job, accessing services and rights and more. Continued accompaniment until the third year",8,Young Arabs who are rejected or those who are below the admission threshold for high-tech professions,250,,250 participants over 3 cohorts (about 80-90 participants in each cohort),,
Childhood Obesity Prevention,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,N/A,,,,,The project aims at reducing overweight/obesity rates in Israel by focusing on the early childhood years and preventative measures,The intervention model is currently under design,3,The project aims at children aged 2 years old who were identified as at risk to be overweight/obese at age 5-6,TBD,,,,
Prisoner Rehabilitation/Recidivism Reduction,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,,,,,,"As recidivism rates in Israel in the past 10 years are stagnant at 40%, the SIB aims at providing adequate, personalized rehabilitation programs for released prisoners with the purpose of reducing recidivism rates in the long term",The intervention model is currently under design,10,,,,,,
Transgender Women Leaving the Cycle of Sex Work,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,,,,,,The projects aims at paving the way for hundreds of transgender women  who want to leave the cycle of sex work by helping them integrate into stable and high-quality employment and adopt a well-balanced lifestyle,"The intervention model constitutes training program for high-productivity careers, significant support for housing and income during the training period, job placement, post-placement support, and an alumni program.",5,,,,,,
Mental health project in Israel,Israel,Israel,IL,,Final negotiations,,,,,,,,,,,,,,,,"The Ministry of Health funds and provides, through service providers, the rehabilitation services to those who are entitled to it. It is also the regulator responsible for medical care services",,,,,"In Israel, as in many countries around the world, there is the revolving door phenomenon that describes the entry of people dealing with mental illness repeatedly into repeated hospitalizations in psychiatric hospitals. The phenomenon impairs their quality of life and their ability to maintain continuous contact with the community and their personal well-being.",Strengthening services provided in the community by providing the service of a multidisciplinary team that will reach the homes of the participants in the program and provide them with therapeutic services with an emphasis on their connection to the community and rehabilitative services.,3,People with severe mental illnesses. ,TBD,,,,
Encouraging people with disabilities to become independent in public transport,Israel,Israel,IL,,Late stage,,,,,,,,,,,,,,,,"The Ministry of Welfare and the Ministry of Education provide services to people with disabilities. As part of this service, they are responsible for providing transportation as well as education and training and providing tools for independence. Therefore they will be the potential outcome payers.",,,,,"There are many people with disabilities, young and old, who come daily to school or the employment center by shuttle even though they have the ability to develop independence skills in public transport that can serve them and help them integrate into society.","Theoretical and practical training through instructors who have been specially trained in the subject, for people with disabilities aged 14 and over who have been found suitable for the program",4,People with cognitive disabilities who have been found to have the ability to develop skills for independent travel on public transport from the age of 14 and up,2500,,Between 500-2500 individuals,,
Reducing work accidents,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,"The National Insurance Institute, which is responsible for the payment of injury benefits and disability benefits to victims of work accidents, is financing a pilot in the field through one of its funds, as part of which the intervention will be designed.",,,,,"The construction industry is notorious all over the world for having many work accidents, some of them fatal. The goal is to reduce work accidents in the construction industry.",Has not yet been finalized,3,Has not been specified yet,Has not been specified yet,,,,
Harm reduction among women who engage in prostitution and drug abuse,Israel,Israel,IL,,Early stage,,,,,,,,,,,,,,,,,,,,,"With no dedicated social services offered to women who engage both in prostitution and drug abuse, the SIB aims at providing harm reduction services that will at as a facilitator for future rehabilitation processes",The intervention model is currently in design,,,,,,,
Ministry of Housing SIB - assistance in rent according to income test,Israel,Israel,IL,,Late stage,,,,,,,,,,,,Yes,No,No,No,,Ministry of Housing is the outcome payer,,,,"The assistance allowance is intended to provide its recipients with a solution to significant emergencies / challenges that make it difficult for them to earn a living and realize their earning potential. This dependency reduces the incentive for those mothers to increase their income (since the benefit is offset as the income increases), in a way that creates a poverty trap.","The aim of the project is to exclude the population of single mothers from the circle of benefit recipients through a holistic intervention program that will address their difficulties and enable them to integrate optimally into the labor market. The program will include individual employment guidance that includes a basket of services (for example, professional training, assistance in finding frameworks for children and more), personal and mental guidance that will include encouraging proactivity, taking responsibility and more. Finally, the program will address a sub-population with unique needs such as leaving a violent marital system, special training, assistance in starting a private business and more.",1,Single mothers receiving assistance in rent according to an income test,1200,,,,
ANDES,France,France,FR,,Final negotiations,2934000,2934000,EUR,1,The programmme was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,May-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Food waste,Collecting food surplus and distribution to solidarity markets,"2,13",Solidarity markets (épiceries solidaires),TBD,Solidarity markets (épiceries solidaires),,,
Articonnex,France,France,FR,,Final negotiations,2548000,2548000,EUR,1,,Q1 - 2023,6-12 months,,May-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Waste for construction sector,"Collecting waste from construction industry, recycling and reusing construction material","11,13",,,,,,
Comme Les Autres,France,France,FR,,Final negotiations,4738000,4738000,EUR,1," Comme Les Autres was selected following a call for proposals. Weekly discussions between the outcome funder, the service provider, the advisors and the evaluator are held to work on this social impact bond. A Memorandum of Commitment is expected to be signed in March.",Q1 - 2023,6-12 months,3,"The call for proposals was issued in March 2021. A project selection process was then initiated beginning in June 2021. Projects were selected in November 2021. Since then, implementation discussions have been ongoing.","The project carried out by Comme les Autres is an innovative project in several respects: taking into consideration a specific public that lacks support, setting up an early, complete and multifactorial support, making the pathway more dynamic... In the long term, it could lead to a new methodology of social work for the public authorities and it presents many avoided costs.","One of the challenges in setting up this social impact contract was the concordance of the evaluation methods between Comme les Autres and the traditional methods of the public authorities, particularly the Ministry of Labor.",Yes,No,No,No,,,No,No,The global budget including the investors' remuneration is estimated at EUR 4.738M.,"Each year, there are nearly 2,000 new spinal cord injuries (paraplegics and tetraplegics), of which 600 are of age and sufficiently autonomous to participate in an intensive program of group activities and thrills. There are very few facilities that specifically meet the needs of people with spinal cord injuries when they leave a rehabilitation center. This shortage too often leads to a break in the social and professional reintegration of people who have become disabled.",The Employment Orientation Program (EOP) of the association Comme les Autres (CLA) aims to remove the peripheral barriers to employment for people who have become motorically handicapped as a result of an accident in order to promote their employability and enable or accelerate their socio-professional reintegration. The beneficiaries of the EOP will be accompanied within this framework for a period of one year,"8,10","People with a motor disability as a result of an accident, primarily spinal cord spinal cord injuries (paraplegics and tetraplegics), but also hemiplegics and traumatic amputees.",464,,464 beneficiaries entered the EOP,,
Duo for a job,France,France,FR,,Final negotiations,,"The capital could be 2,486,800 and the maximum premium could be 330,000",EUR,1," Duo for a Job was selected following a call for proposals. Monthly discussions between the outcome funder, the service provider, the advisors and the evaluator are held to work on this social impact bond.",Q1 - 2023,6-12 months,4,"The call for proposals was issued in March 2021. A project selection process was then initiated beginning in June 2021. Projects were selected in November 2021. Since then, implementation discussions have been ongoing","It is an innovative project, which is struggling to find funding. The project presents important avoided costs, considering the return to employment obtained. An impact contract has already been set up in Belgium by this structure.",The current challenge is to find investors given the level of remuneration,Yes,No,No,No,,,No,No,,"The creation of DUO was motivated by a double observation, observable in most European countries. First, young refugees and immigrants are overexposed to the risk of unemployment. Secondly, the potential of retirees and working people over 50 is not sufficiently exploited.","DUO for a JOB allows a young refugee or person of diversity (""mentee"") to benefit free of charge from the accompaniment of a volunteer over 50 years old (""mentor"") in his or her job search. The methodology used aims to optimize the choice of the mentor and the mutual commitment, to train and develop the skills of the mentors, and to supervise the relationship in order to ensure that it is based on achieving objectives.","8,10","DUO for a JOB accompanies young job seekers of non-European origin, almost all of whom have experienced migration and are often poorly qualified and/or newcomers",1000,,1000 duos should be accompanied over 4 years,,
Envie Autonomie,France,France,FR,,Final negotiations,5492727,5492727,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,Apr-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Difficulties for affording mobility aids,"Collecting and refurbishing mobility aids through inclusive employment, selling mobility aids at low price","3,10,13",People with low income and physical disabilities,TBD,,,,
Label Vie,France,France,FR,,Final negotiations,3130000,3130000,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,May-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Little consideration for environmental challenges in collective sites,Certification process for ‘responsible nurseries’,"3,13",Nurseries,TBD,Nurseries,,,
Léo Lagrange,France,France,FR,,Final negotiations,2894896,2894896,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,May-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Need for raising awareness for climate action,"Workshops on sustainable development, online platform, training","4,13",Children from 9 to 12 and their families,TBD,Families,,,
Linkee,France,France,FR,,Late stage,2308000,2308000,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,Apr-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Food waste and growing need for food aid,"Logistics for saving surplus food from restaurants, distributors and producers and distributing it to food aid organizations","2,13",Beneficiaries of food aid,TBD,,,,
Messidor,France,France,FR,,Final negotiations,2549044,2549044,EUR,1, The program was selected following a call for proposals. Evaluation framework is being finalized,Q1 - 2023,6-12 months,5,Q1-2022,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",Finding data for quasi-experimental study (not linked to outcomes payments),Yes,No,No,No,,,No,No,,Difficulties to access the job market for job seekers with mental disorder and without official disability status,Individual placement and Support (IPS),"8,10",Adults with mental disorder without disability status,380,,,,
Mozaïk RH,France,France,FR,,Final negotiations,3400000,3400000,EUR,1, The program was selected following a call for proposals. Evaluation framework is being finalized,Q1 - 2023,6-12 months,5,Jun-21,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",Finding data for quasi-experimental study (not linked to outcomes payments),Yes,No,No,No,,,No,No,,Difficulties for poorer students to find a job after they finish their studies and discriminations,"Workshops for preparing students to job interviews and the job market, intermediation and non-discriminatory matching with employing companies.","8,10",Students in higher education with scholarship and/or from Urban Priority Districts,1000,,,,
Télémaque,France,France,FR,,Final negotiations,3144000,3144000,EUR,1, The program was selected following a call for proposals. Evaluation framework is being finalized,Q1 - 2023,6-12 months,6,Jan-22,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",Finding data for quasi-experimental study (not linked to outcomes payments),Yes,No,No,No,,,No,No,,Difficulties to access the job market for student in vocational education and in poor territories,Mentoring both at school and outside of school for professional orientation,"8,10",Students in vocational education,560,,,,
Toopi Organics,France,France,FR,,Final negotiations,3822906,3822906,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed.,Q1 - 2023,6-12 months,,May-21,"Social and environmental innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Challenges for organic production,Collecting human urine for producing organic fertilizers,"12,13",Producers,TBD,,,,
Wake Up Café,France,France,FR,,Final negotiations,2921668,2921668,EUR,1, The program was selected following a call for proposals. IB contract is about to be signed,Q1 - 2023,6-12 months,5,Jun-21,"Social innovation, prevention, and the opportunity to try a new public service which could be replicated elsewhere",,Yes,No,No,No,,,No,No,,Reoffending by lack of professional opportunities and discrimination of former offenders,"Job training in prison, individualized support in and outside prison, intermediation with employing companies","8,10",Offenders in the judicial system with difficulties to integrate the job market,648,,,,
Formal Employment SIB Nuevo Leon (Mexico),"Nuevo Leon, Mexico",Mexico,MX,,Late stage,1000000,1000000,USD  ,0,Designing SPV and starting negotiations between government and investors,Q3 2022,> 24 months,1.875,Q1 2019,The government seeks to change the working relationship with implementers from a grant-based funding model to an outcomes-based funding. To develop an outcome-based intervention model for formal employment that can be later used and replicated in Mexico.,"(1) To familiariaze key actors to the rationale of outcomes-based financing, government as well as service providers
(2) Secure funding from Outcome Payor given the government transition (the previous government had already included 50% of the project cost on their budget)
(3) Adapt the provider’s services to the impact investors needs",Yes,No,No,No,,,Yes,No,"21,000,000 MXP","Around 37% of the population in Nuevo León work in the informal sector, and this level is even higher among youth.","Soft skills, technical skills, 1 to 1 mentoring focused on job placement, and internships in allied enterprises","1, 8, 10","Vulnerable youth age 18-24 from the Metropolitan Area of Monterrey, Nuevo Leon that are currently working in the informal economic sector or unemployed, and that are not studying.",300,,,,
Innovative Financing Models for boosting employment in vulnerable populations in Mozambique,Mozambique,Mozambique,MZ,,Early stage,,Ranging from potential $500k to $20m (varying significantly between models and the appetite of funders),USD,1,"Post feasibility stage, where four concepts ready for market testing have been indentified and one will be selected. Currently seeking to partner with organisations and funders focused on gender and/or employment outcomes to operationalise these models.",Q2 - 2023 or later,12-24 months,TBD,Q4 2020,"Integrating outcomes-based financing principles into innovative finance models will catalyze new funding for the DUYW employment challenge in Mozambique by (i) creating sharp and shared incentives for all parties to achieve a common goal, and (ii) facilitate new partnerships, including with the private sector, that allows different capabilities, perspectives and networks to work together for a common good","(1) Securing funding to take one or more of the models through to feasibility stage
(2) Operationalise the detailed concepts that have been developed in the scoping phase",No,No,No,No,Yes,,Yes,Yes,Up to $20 million,"50 % of Mozambicans are still living in poverty and social and economic inequalities are continuing to grow. The challenges faced by disadvantaged urban youth and women (DUYW) are severe. Without deliberate intervention to address the constraints facing them, this trend is set to worsen. MUVA, a Mozambican NGO supporting women’s economic empowerment, in collaboration with Social Finance, identified four outcomes-oriented innovative finance intervention models with the potential to enable DUYW  to access jobs and economic opportunities. Each responds to a specific set of challenges: (i) addressing the visible and invisible gender-specific barriers young women face when entering the workforce, (ii) the technical and financial support needed to incubate DUYW entrepreneurs, and (iii) the culture change required from larger employers to accommodate young women.
(Scoping report: https://www.socialfinance.org.uk/sites/default/files/publications/muvareport.pdf)","(1) a Female Economic Empowerment and Employment DIB
(2) an Early Stage Enterprise Catalytic Fund
(3) a Gender-Impact Blended Finance Fund
(4) an outcomes-oriented Public Goods Cash Transfer programme","10, 5, 8","Demand side: disadvantaged urban youth and young women in Mozambique
Supply side: enterprises, ranging from subsistence entrepreneurs to larger enterprises",TBD,,,,
Outcomes based financing for scaling Sanergy’s container-based sanitation services in informal low-income settlements in Nairobi,Kenya,Kenya,KE,,Early stage,,TBD,TBD,,An initial scoping has been conducted and a feasibility study is at the mid stages with start of design planned for Q2 of 2022,Q1 - 2023,12-24 months,4.5,March 2021,"Scaling up Sanergy’s offering will bring economies of scale and efficiencies to the delivery of their services. The long term ambition is to achieve financial sustainability via results-based contracts with municipalies. The proposed outcomes-based model will create a natural bridge from donor subsidies to municipality funding, by allowing external funding to taper out as local funding tapers in, avoiding funding cliff-edges or re-procurement risks",Securing the level of outcomes funding needed to deliver scale and impact,No,No,Yes,No,,,Yes,Yes,,"Currently, 60 million new residents move to urban areas every year. One in four lives in slums, amounting to over 1 billion people. The vast majority (more than 70%) have no access to safe sanitation services and, in effect, are living in their waste. In Kenya this issue is clear and in Nairobi alone, 60% of the population live in informal settlements and 60% of the city remains unconnected to the sewerage system.","Sanergy, established in 2011 to address the sanitation value chain in the low-income informal settlements of Nairobi, provides container-based sanitation services, offering an end to end sanitation solution to residents. These waterless sanitation facilities are leased to local residents, who pay a monthly subscription fee to be part of the network. Sanergy collects the waste through a professional logistics team, provides operational and maintenance support, liaises with government to ensure compliance, and guarantees that all waste is safely treated.","6,11,17",Informal settlements in Nairobi,700000,,,,
Results-Based Financing for container-based sanitation services in northern Haiti,Haiti,Haiti,HT,,Late stage,5000000,5000000,USD,0,,Q2 - 2023 or later,12-24 months,4,Q1 2019,"Scaling SOIL’s market-based approach by reducing costs through economies of scale, creating incentives for cost-efficient operations and proving a mechanism which could later be replicated for public funding of sanitation services in urban Haiti.","(1) Misalignment of objectives between the Haitian government and the potential outcomes funder, due to the latter ‘moving the goalposts’ on program scope and intended outcomes.
(2) Potential outcomes funder sought to impose unrealistic cost recovery targets over a short period of time.",No,No,Yes,No,,,Yes,No,Estimate of USD 3-5 mn,"In Haiti, only 30% of the population has access to improved sanitation and less than 1% of waste is safely treated. This has fueled one of the most virulent cholera epidemics in recent global history. While aquatic ecosystems become increasingly polluted with nutrients from human waste, the earth’s soil nutrients have been rapidly declining due to erosion and intensive agricultural practices, leading to a loss of biodiversity, extreme vulnerability to climate-related risks, reduced agricultural production, poverty, and malnutrition. As Haitian cities expand, unplanned, at staggering rates, it’s critical that the sanitation sector develops innovative approaches that work in dense urban areas to avoid exacerbating the toll of preventable waterborne diseases.","SOIL operates an integrated waste management system, from containment of human waste through safe transportation to treatment. This program focuses on expansion of SOIL’s ‘EkoLakay’ container-based household sanitation service and to safely transport and treat the associated waste",6,Households in urban and peri-urban areas in Haiti’s Grand North region,3350,Households  ,"Approximately 3350 households (approximately 20,000 people)",,
Armenia Dairy Productivity DIB,"Shirak, Armenia",Armenia,AM,,Early stage,4000000,4000000,USD,0,In mid to late stages with first iteration of design having been largely completed. Funders needed and then looking to engage service providers to co-create and finalise the design,Q2 - 2023 or later,>24 months,6,2020/2021,"An impact bond aligns partners around shared incentives and associated accountability which is necessary to solve the inter-related market failures in Shirak dairy production leaving many smallholders without an avenue to earn their wayout of poverty. Rigorous monitoring and focus on outcomes measurement in an impact bond allows the programme to focus on changes in household income net of production costs, producing a more realistic measure of impact than other programmes. In an area where multiple interventions have not achieved sustained impact, an impact bond provides the flexibility to innovate in service delivery as well as strong feedback loops to understand what works. This is complemented by a focus on value for money which has been lacking in a number of other input-driven agricultural progammes.","1. The complexity of the issues area and number of interrelated challenges makes the context of operation complex
2. A lack of publicly available data on smallholder numbers, costs and intervention costs means that further iterations of the programme design and payment mechanism will be necessary
3. Lack of infrastructure and applicable public and private financial mechanisms to secure the sustainability of activities to be implemented during the project",No,No,Yes,No,,,Yes,Yes,,"The poverty rate in the Shirak region is significantly higher than the Armenian average and agriculture, particularly dairy farming, is a key source of income. Dairy farming is however charactrised by low-input subsistence activity that leads to persistently high levels of smallholder poverty, indebtedness and outward migration. Low dairy productivity coupled with market failures in the dairy value chain mean that the market operates at a low-level equilibrium of poor quality and low prices, with little possibility of smallholders being able to pull themselves out of poverty","Holistic intervention that could include a multifaceted service package designed across four pillars of infrastructure, agricultural practices, operations and market linkages:
1)        Infrastructure: provide capital for processor and/or smallholder infrastructure investments, acting as co-finance where existing grant-programmes exist.
2)        Agricultural practices: provide training and vet services to improve smallholder practices.
3)        Operations: provide temporary input subsidies, which could be used to de-risk the additional costs associated with adopting new on-farm practices.
4)        Market linkages: support the development of market infrastructure/systems to promote quality-responsive milk pricing from processors, including the potential introduction of milk collection and cooling points. ","1, 2, 3, 8, 9, 10, 11, 12, 15, 17",Dairy processors and smallholders (with between 3 and 19 cows) in Shirak,2708,,"Approximately 2,700 smallholders and 8 dairy processors",,
