Project Name,Country (Detailed),Country (Condensed),Country ISO 3166-1,MultiCountry,Stage,Payments Ceiling - Numeric,Outcome Payments Ceiling,OPC Ceiling Currency,Non-USD,Stage - Notes,Launch Date,Project Development Time,Expected Lengths  In Years,Project Design Began - Date,Why Outcome Based Finance,Key Challenge Assertion,Domestic Gov Funds Project?,Domestic Gov Provides Services?,Domestic Gov On Steering Committee?,Domestic Gov No Formal Role?,Other Role Domestic Gov,Other Gov Role Notes,Feasibility study - (Value),Technical Assistant Grant?,General Finance Notes,Social Dev Challenge,Intervention Model,SDG Mapping,Target Pop Description,Target Pop Size Est,Beneficiaries Description,Beneficiaries - Notes,,
Jordan Early Childhood Development DIB,"Amman, Irbid",Jordan,JO,,Late stage,,TBD,TBD,,,Q2 - 2023,12-24 months,TBD,Q1 2019,"Outcomes-based contracting offers an opportunity to improve the transparency and accountability of providers within the private KG market, while helping to align incentives such that national efforts to expand access are also focused on assuring quality.","(1) Owing to COVID-19 disruptions, the feasibility study was pushed back to late 2021
(2) As this is early stage work, there has been no outreach to potential investors or outcomes funders and so the funder interest is currently unknown.",Yes,No,Yes,No,,,Yes,Yes,,"Enrolment in kindergarten is low in Jordan at 41% of the 4-6 year old population and private KGs make up 71% of that provision (compared to 24% at primary level). To achieve the Government’s ambition to universalise KG access, the Ministry of Education of Jordan is seeking to expand access to high quality KG education through the design and implementation of innovative partnerships with the private sector.","Package of support to eligible private KG providers to improve access to high-quality education services to lower-income households (likely to include support to physical expansion of school, pedagogical and school management training)","4, 10","Private KGs operating in Amman and/or Irbid Governorates, delivering services to children aged 4-6 from lower-income households",TBD. Cohort size will be dependent on the findings of a comprehensive private KG market survey. This is one of the first of its kind providing rich data on private KGs to be used to inform reasonable scope of beneficiaries.,,,,
Eye Health Social Impact Guarantee,"Cambodia, Nepal, and others, Bangladesh, Indonesia, Vietnam",Multiple countries,"BD, NP, KH, VN, ID",1,Scoping,3600000,3600000,USD,0,Vision Catalyst Fund is working with Tri-Sector Associates to conduct a market mapping and issue identification exercise. This exercise will tentatively be completed in March before we move into the feasibility study stage,Q2 - 2023,12-24 months,2,Q4-2021,"- Guarantees Upfront Funders the target outcomes that they desire. In the event that these outcomes are not achieved, the guarantee will be called, and they will get some of their funding back.
- Incentivises service providers to focus on delivering outcomes and move away from outputs. 
- Mobilises new sources of funding by providing a guarantee to non-traditional funders of eye health to incentivize the funding of vision-related interventions; the guarantee can be tied to outcomes that are of importance to non-traditional funders (e.g. education or livelihood outcomes)
- Catalyses an inflow of more upfront funding if applied at scale, as the same dollar can be used to guarantee different projects. By developing a portfolio of SIGs, one can create significant leverage by using the same dollar to provide SIGs to multiple projects. 
- Encourages strong performance management through the set-up of formal governance structure and rigorous evaluation practices among service providers so that service providers can continue to build evidence-based interventions..","Funding flowing into the eye health space does not reflect the value that good eye health can bring to society. There is a need to educate stakeholders on the Social Impact guarantee, a new outcomes-based contracting model.",No,No,No,No,TBD,"The goal of this project is to support the government in developing a government-owned, sustainable eye health programme nationwide that will have lasting impact and improve the social-economic status of Vietnam’s citizens. The intention is that the Government of Vietnam is consulted throughout the project including the co-creation process with the service providers. The aim of the project is to support the rollout of the Government's National School Eye Health Guideline through capacity building and technical assistance to the Ministry of Health and Ministry of Education.",No,Yes,,"More than a billion people in the world have poor vision. The solutions are already available for 90% of them through cost-effective solutions like glasses and cataract surgery. Low- and middle-income countries are home to 90% of visually impaired persons. Women and girls experience the majority of vision loss and are less likely to receive care. There is an estimated $410 billion annual global cost of productivity losses associated with vision loss. The World Health Organization estimates it would take $24.7 billion to close the gap for unaddressed refractive errors and cataracts globally.
Poor vision is a major public health problem in Vietnam for school-going children. Over 3 million school children have a visual impairment, and they face challenges in accessing high quality services and assistive technologies. In Vietnam, prevalence of uncorrected refractive error among urban school children aged 6–15 years is 25–40%, which is one of the highest in the world. Of those who have uncorrected refractive error, only 33% of them have access to a pair of spectacles, which 60% of the time is likely an incorrect prescription. Key drivers included the lack of consideration of eye health in prior school health policy frameworks, the lack of guidelines for implementing vision screening during annual school health check-ups for children, poor awareness of the importance of eye health among teachers, and the lack of training resources for school nurses and teachers to provide eye health services and referrals. School eye health is now an important priority for the government. In February 2022, the Government of Vietnam announced the objective of implementing the National School Eye Health Guideline across all schools in Vietnam. ","The intervention will work to strengthen the rollout of the Vietnamese Government's National School Eye Care guidelines. Activities will include school-based screening, diagnosis, referral, and treatment interventions, along with educational communications campaigns to facilitate preventative eye care. The programme is taking a systems strengthening approach including capacity building, health system integration and development of new processes. ",3,"The primary target population is school children from 6–15 years old, prioritising economically disadvantaged and ethnic minority communities.",TBD (dependent on the intervention which we are still developing),,,,
Championing the World’s first Adolescent Sexual Reproductive Health Development Impact Bond in Kenya,Kenya,Kenya,KE,,Final negotiations,18000000,18000000,USD,0,"The project has secured resource commitments from the SDG Outcome Fund equivalent to $7m over a period of 3 years. Discussions are ongoing with social impact investors such as CIFF, UBS Optimus, Grand Challenges Canada, and Norad for financial leverage to a tune of $18 million. These resources will either come in the form of outcome fund contribution or impact capital to finance the development impact bond.",Q4 - 2022,6-12 months,3,Q1 2022,"To demonstrate results, to adopt a paradigm shift from funding to financing and to incenvize potential investors towards financing the SDGs",,Yes,Yes,Yes,No,,,Yes,Yes,,"Teenage pregnancy, new HIV infections and AIDS related deaths among adolescent girls in Kenya",Tech-based service delivery model that places adolescent girls at the centre,"3,5,7",Adolescent girls (15-19 years),200000,,,,
Namibia Early Childhood Development Social Impact Bond,Namibia,Namibia,NA,,Late stage,5000000,5000000,EUR,1,Provisional SIB design was delivered in July 2021. Further government engagement being performed as the gov. of Namibia will be a co-outcome payer. Additional service provider to be selected through an RfP process.,Q1 - 2023,12-24 months,5,Q4 2020,"More efficient use of funds for the outcome payers. Incentivization of service provider. Test the approach with the Gov. of Namibia, which if successful, could be scaled across the country and maybe replicated in other African countries.","(1) Limited / low maturity ECD service provider landscape in Namibia
(2) Government engagement (convincing, figuring out who and how to contract with government)",Yes,No,Yes,No,"Implement/roll out complementary ECD strategies, supervise verification process",,Yes,Yes,,ECD access and quality in Namibia remains a serious challenge despite the momentum that the Namibian government has mobilized over the past five years.  Only 13% of children aged 0-4 are enrolled in ECD centers and just 31.4% of children are enrolled in pre-primary. Lack of ECD quality contributes to high repetition rates in primary and secondary levels.,"Increase access to ECD with a focus on both the demand (parents) and supply side (centres capacity). Improve quality of ECD centers focusing on providing i) teaching and learning materials to ECD teachers, ii) trainings to ECD teachers on pedagogical approaches and management capacities, and iii) grants to ECD centers to improve their physical facilities.",4,"Approx. 45,000 children aged 0-6 in 400 ECD centres",45000,,"Approx 45,000 children and 400 ECD centers",,
Impact Bond to address Child Labour in the Cocoa Value Chain in Côte d’Ivoire,Côte d’Ivoire,Côte d’Ivoire,CI,,Early stage,,TBD,TBD,1,"Feasibility study completed in 2021, main finding: impact bond targeting child labour elimination in the cocoa sector in Côte d’Ivoire is feasible => 2022: engaging local and international stakeholders to share results of feasibility study and jointly define way forward including decision whether design stage will take off",Q4 - 2022,TBD,TBD,TBD,Going to scale,"(1) Covid-19
(2) Aligning and obtaining buy-in from all concerned (local) stakeholder groups",No,No,No,No,TBD,,Yes,Yes,,Addressing child labour incidence in the cocoa sector in Côte d’Ivoire,"(1) School feeding programme
(2) Quality education",8,Primary school children,10000-50000,,"Three target numbers based on Impact Bond size (10,000/25,000/50,000 children)",,
Education Impact Bond,Pakistan,Pakistan,PK,,Early stage,10000000,10000000,USD,0,"The project is now the validation of initial feasibility and rapid development and design of an impact bond on education in Pakistan. We seek to launch a simple (minimum providers, outcomes funders and investors) impact bond within 12 months",Q2 - 2023 or later,6-12 months,TBD,Q2 2022,"Target specific marginalised group (middle school girls) and allocate resources for specific interventions that support outcomes for this group
- Can unlock capital towards new programmatic approaches that have thus far not succeeded at attracting funding (due to being deemed too risky)
- Enable incorporation of retention focused metrics (rather than just enrolment) in programme delivery given transfer of risk
- First impact bond in Pakistan, with wider ambition to kick-start the local market","(1) Changing political landscape and uncertainty
(2) Unknown challenges in a new market such as legal and regulatory obstacles to overcome",No,No,No,Yes,,,Yes,No,This might be a ~$5M-10M transaction,Pakistan's progress towards achieving SDG 4 to ensure inclusive and equitable quality education and promote lifelong learning opportunities for all by 2030 has remained stagnant as the sector continues to face challenges.  Economic shocks from Covid-19 have further strained education funding with overall contraction of the economy and competing allocations to health and other relief measures.,TBD. Interventions identified during feasibility study: high-quality private service providers operate school networks and are PPP partners that can focus on improving functionality of government schools and/or establishment of new schools,4,"Middle and secondary school children, with an emphasis on increasing enrolment and retention of girls",TBD,,,,
Refugee Impact Bond (Second Tranche),Lebanon,Lebanon,LB,,Late stage,8800000,8800000,USD,0,The Refugee Impact Bond 1st tranche is closed and launched. Fundraising is ongoing for the 2nd tranche in Lebanon with first investor comittment from DFC confirmed,Q2 - 2023 or later,6-12 months,4,Q1 2016,"Livelihoods programmes have great potential to improve refugees’ living conditions and to boost the host country’s economy, as refugees spend the money they earn. However, they are a relatively new area for humanitarian organisations and can be challenging to implement, which means traditional donors are reluctant to take the risk of funding them. When programmes do exist, results are often disappointing owing to top-down or ‘one-size-fits-all’ approaches. Finally, funding contingent on activity-based annual cycles, hampers efficacy and innovation. The DIB transfers the risk of funding a multi-year livelihoods programme to investors. Beyond risk externalisation, the DIB also provides high value-for-money for the donors.",Raising the necessary outcome funding commitments.,No,No,No,Yes,,,Yes,Yes,,"Worldwide, conflict and climate crises are forcing more people than ever from their homes, with displacement and its impacts lasting years beyond the crisis. The Syrian conflict has driven 6.6 million people to flee Syria with 80% settling in neighbouring countries. This puts a strain on local economies and infrastructure as well as leaves refugees and their host communities struggling to access safe and dignified work, basic services, and affordable housing.","Near East Foundation will implement a micro-enterprise, vocational trainings and grants programme. The programme will support 3,000 refugees and Lebanese through business development and resiliance-building trainings. The majority of these will also receive start-up grants and coaching sessions to support the launch of their micro enterprise.","1, 4, 5, 8, 10, 17",Vulnerable refugees and host communities (75% women and 30% youth),3000,,,,
Menstrual Health and Hygiene DIB (Second Tranche),Ethiopia (new region) or other Sub-Saharan country,Ethiopia,ET,,Late stage,16200000,16200000,EUR,1,"First tranche launched in Ethiopia in February 2022. Second tranche to be launched upon commitments of outcome funders and investors (e.g., in other regions in Ethiopia, in Niger, structuring has been done).",Q2 - 2023 or later,6-12 months,3,2019,"(1) Experiment a comprehensive intervention to address menstrual health and hygiene challenges
(2) Build evidence of the impacts of such intervention
(3) Develop a dialogue with policy makers to replicate and scale the intervention
(4) Risk transfer from providers and donors to social investors","(1) Hard to secure outcome funding
(2) Complexities around the financial structure for the pre-financing of the Ethiopian DIB
(3) Measurability of outcomes given undocumented sector and no track record of interventions
(4) Fragmented ecosystems of service providers",No,No,Yes,No,,,Yes,Yes,Up to EUR 5-15m per new geography/country (1st tranche in Ethiopia: EUR 3million),"Menstruation is a key component of a woman’s life. Yet it remains a taboo in many cultures, including in Africa and India. In these countries, the issue has been consistently overlooked, underestimated, and underfunded. For instance, 70% of adolescent girls in Ethiopia and over 52% in India learn about menstruation after menarche from an older sister or peers at school. Due to lack of awareness, many girls adopt unhygienic practices, which can have negative impacts on their health. Girls also feel less confident because of the lack of sanitary facilities at schools and unavailability of better sanitary products. This impacts their ability to attend school or work in appropriate conditions. Ultimately, it perpetuates stigma and gender inequality.","(1) outreach campaigns to change practices, behaviours and attitudes
(2) development of a local market for menstrual products
(3) improvement of sanitary infrastructure","3, 4, 5, 6, 8","Adolescent girls, women and their communities, including boys and men",TBD,,TBD (number of beneficiaries for 1st tranche: 325k),,
Youth and Young Women Livelihoods DIB in Senegal and Tanzania,"Senegal, Tanzania",Multiple countries,"SN, TZ",1,Early stage,1500000,1500000,USD,0,Feasibility Study conducted in 2018. Currently finalising a Scoping and Marketing study with the objective to confirm service providers’ interest in participating to the DIB and secure expressions of interest from a pool of potential outcome funders and investors. Structuring phase expected to start in Q2-Q3 2022 – fundraising for the structuring costs ongoing.,Q2 - 2023 or later,12-24 months,4,Q4 2021,"Clear outcomes identified to finance these interventions through a DIB, will to strengthen service’s providers capabilities in delivering in the context of a RBF mechanism",Securing outcome funding in a post-pandemic context,No,No,Yes,No,Domestic governments will be consulted to ensure alignment of interventions with national priorities and will be engaged to design the exit strategy and ensure a sustained impact of the interventions,,Yes,No,USD$5-15m funding requirement estimated during the feasibility study per country,The analysis of Senegal’s and Tanzania’s socio-economic contexts showed a mismatch between available skills and job market needs as well as the vulnerability of the youth and particularly young women when it comes to unemployment or decent employment. The development of both vocational training to equip young people with adequate competencies and entrepreneurial skills stands out among the main priorities identified in both countries. Access to capital for the youth and young women is also a key issue identified.,"Feasibility study confirmed the relevance of 5 types of interventions: life-skills development, vocational training, support to entrepreneurship, job placement services and financial inclusion. Intervention model to be further defined around at least one of these categories in collaboration with the selected service provider(s) during the strucuturing phase.","1, 4, 5, 8, 10, 17",Young people aged 15 to 35 years old with a specific focus on young women,TBD during the structuring phase,,,,
INNOVAEDU: Pago-Por-Resultados de Innovaciones Educativas en El Salvador,El Salvador,El Salvador,SV,,Early stage,1500000,1500000,USD,0,Right now both operations are in the stage of design.,Q4 - 2022,12-24 months,3,Q4 2021,Promote a culture of intervention based on result and engage private actors,"Identifying actors with disposition to co-create this intervention, fast learning about the instruments, identifying private investors that could support the model and developing a market",Yes,No,No,No,Informed and possible scale,,Yes,No,$1.5MM,"Throughout the last decade, El Salvador has faced multiple educational challenges that has conditioned its socioeconomic development and slowed its progress towards quality, inclusive and equitable education, eg. violence in schools, overage students, low quality educational offer and of little relevance to the needs of the future labor market, among others. All these challenges contribute to the “funnel effect” of exclusion from the educational system: “many start, few finish, and those who learn are even fewer” . In essence, the funnel effect explains the impact that multiple barriers have on students' educational trajectories towards reaching minimum levels of learning necessary for work and life, and which have been exacerbated by Covid-19. Within this framework, this project will address two interrelated challenges: (i) Early dropouts at the secondary level, and (ii) acquisition of Skills for the 21st century.","TBD. Interventions primarily targeting to increase STEM knowledge and abilities, as well as to reduce drop out rates","4, 5",Secondary students from 5th - 7th grades in Honduras and from 7th-9th grades in El-Salvador in both countries with a gender focus.,1500,,"Approximately, 1000 – 1,500, 40% - 50% girls",,
The Future Hope of Addis,"Addis Ababa, Ethiopia",Ethiopia,ET,,Early stage,,TBD,TBD,1,There is clear RBF value add in the Future Hope of Addis program that the City Administration is currently implementing. Internal discussions are undergoing to decide whether we will move ahead with the Design phase,Q2-2023 or later,12-24 months,TBD,Q2-2022,"Focus on results, improve accountability to desired results, evidence generation of cost-effective ECD interventions and crowd-in additional funding","• Complex design due to the holistic nature of the program and engagement with multiple stakeholders involved in the program
• The program requires high levels of support to the City Administration to develop the necessary capacities for the implementing actors, strengthen coordination, and create the right accountability mechanisms to achieve the ambitious results of the program",No,Yes,No,No,The City Administration of Addis Ababa will be the incentivized agent,,Yes,Yes,,"Improve access to quality ECD, decrease under 5-mortality rates, underweight and stunting","The Future Hope of Addis takes a comprehensive,  multisectoral approach to addressing the developmental needs of children. It includes the following strategic initiatives
1.        Provision of coaching, health, and social support for parents and caregivers, including prenatal and postnatal advice and supplementary feeding for vulnerable children to improve child nutrition and reduce the stunting rate
2.        Establishment of community-run early childhood development centres
3.        Establishment of publicly financed day care centres between the ages of seven months and three years
4.        Expansion of equitable access to quality preschools for four to six year-old children
5.        Promotion of learning through play within a child-friendly environment
6.        Establishment of a Centre of Excellence for ECD in Addis Ababa to improve workforce capacities to provide developmentally appropriate pedagogies to build and advance a sustaining early childhood development sector in Ethiopia","2, 3, 4",TBD,TBD,,TBD for the RBF component. Current program being implemented by the City Administration aims to reach all 1.6 million children in Addis Ababa between 0-6 years old by 2026.,,
Strengthening of Healthcare Facilities at PCMC through Social Impact Bond,"Pune, Pimpri Chinchwad Municipal, India",India,IN,,Late stage,13000000,13000000,INR,1,,Q3 - 2022,12-24 months,3,Q1-2021,Create sustained improvements in quality and efficiency of service delivery by shifting focus from outputs to outcomes,"As the first-of-its-kind SIB managed by a Municipal authority in India, a key challenge has been aligning the SIB design process with government procurement processes",Yes,No,No,No,,,Yes,Yes,INR 1000 million = Approx US $ 13 million,Improve the quality of healthcare facilities in PCMC,"Overall strengthening of all PCMC healthcare facilities, strengthening of the Secondary Care Hospitals",3,Beneficiaries of health facilities,2500000,,"2 million outpatients in 28 dispensaries, 12 secondary care hospitals and one tertiary hospital",,
Reto Migrante,Colombia,Colombia,CO,,Late stage,11000000000,11000000000,COP,1,,Q3-2022,0-6 months,1.5,Q4-2021,"Government of Colombia and European Union are interested to explore innovative funding mechanisms to help achieve better results for job placement in Colombia, especially as can help vulnerable populations like migrants and returned Colombians",Diversity of job markets and demand for labor in different cities across Colombia.,Yes,No,No,No,Prosperidad Social and Fondo Logra at Colombian government entities that are involved in the design process and plan to add funds to the pot with European Union to pay for outcomes,,No,No,2900000 USD,Help migrants and repatriated Colombians have capacity and access to jobs,"Traditional workforce development programs: operators provide capacity training, etc.",8,"Unemployed migrants and repatriated Colombians who meet eligibility requirements (e.g., proper identification, certain poverty level, have not already recently participated in similar social programs)",3000,,Approximately 3000 job placements,,
Child Development Centers (Colombia),Colombia,Colombia,CO,,Late stage,,TBD,COP,1,,Q3-2022,0-6 months,1.5,Q4-2021,,,Yes,No,No,No,ICBF will be outcome payer and has been involved in design conversations. We are exploring if we can leverage the outcomes fund structure built in the Colombian government (Fondo Logra) to launch the instrument.,,Yes,No,Perhaps between 20.000.000.000 and 25.000.000.000 COP,Help the Colombian government assure that designated Child Development Centers provide quality services for child development,Child Development Centers are required to provide certain services. The Colombian government will incentivize them to focus on achieving certain results for “quality of services” and “child development” to help improve performance,4,Children (0-5) served by Child Development Centers,3000,,TBD: approx. 3000 children,,
UNHCR’s Poverty Graduation Impact Bond in Colombia,Colombia,Colombia,CO,,Late stage,40000000,40000000,USD,0,,Q2 - 2023,6-12 months,6.5,Q4-2021,"•        A need to leverage an evidence-based approach that is focused on outcomes delivered
•        An opportunity to leverage UNHCR Graduation Model experience
•        An opportunity for innovations to tailor the effectiveness of the delivery of the Graduation Approach to the needs of displaced populations 
•        An opportunity to leverage a developed country ecosystem with development stakeholders and private sector who are willing to share risks 
•        An opportunity to leverage country leadership and experience with impact bonds, including previous successful impact bond issuances and desire to issue more, as well as progressive government policies, such as Temporary Protection Status that creates opportunities for inclusion.","Instrument design is currently ongoing during national elections and change of government (first round voting May 29, 022). This may delay / affect commitments. ",Yes,No,Yes,No,,"The GoC could potentially be an outcome payer. If this Impact Bond is contracted to the Colombian Outcomes Fund, DPS could also be a technical Project Manager with UNHCR.",No,Yes,TBD: perhaps between USD 10-40 million,To deploy the first large-scale Graduation Approach program focused on refugees which aims for the highest graduation rate achieved so far for this population.,"Led by UNHCR, service providers will implement a Graduation Approach program that includes as minimum components: basic needs assistance, income generation for self-employment and job employment tracks, financial support and savings, and integration/psychosocial support/social empowerment. ",1,"Venezuelan migrants/refugees, internally displaced Colombian, and host community living in extreme poverty","10,000 - 15,000",,"TBD: approx. 10,000 households (50% Venezuelans and 50% Colombians)",,
MCC Senegal Power Compact: Utility performance incentive program,Senegal,Senegal,SN,,Early stage,5500000,5500000,USD,0,"Feasibility/ scoping completed, entering into design",Q2-2023 or later,12-24 months,2.5,Q4 2022,,,No,No,Yes,No,,The Government of Senegal will play a governance role and will be targeted to sustain the program,Yes,Yes,,"Lack of universal, affordable access to electricity in Senegal, which hampers economic growth and contributes to inequality.","No specific intervention. The utility company will be incentivized to improve their normal operations of service provision (connecting customers, providing electricity supply, etc.).",7,Utility clients (further specifications will be provided in the future),"Not known at the moment, but reach should include all the utility clients",,,,
Performance-based contract to achieve gender-transformative results in rural agriculture in India,India,India,IN,,Early stage,5700000,5700000,USD,0,"Feasibility/ scoping completed, entering into design",Q1-2023,5 years,5,Q2-2021,,,No,Yes,Yes,No,A government corporation (MAVIM) is the main implementing partner. Other government actors will also play roles in oversight and governance.,,Yes,Yes,,Persistent gender inequality in rural agriculture and the need for more gender transformative results to create lasting change for women.,"The project aims to capitalize on the successful gains in women's equality in Maharashtra during previous IFAD loans with the targeted implementor. To do so, the project will establish a Centre of Excellence (COE) for Gender Transformation within the implementor. The COE will aim to improve gender equality by influencing the Govt of Maharashtra's policies and budgeting, as well as by influencing other actors in India and globally by transferring best practices, etc.","1,5,10","Smallholder farmers working in targeted value chains, their grassroots farmers' organizations, and entrepreneurs involved in related activities along the targeted value chains.",1000000,Households,,,
Performance-based contract to achieve gender-transformative results in rural agriculture in Burkina Faso,Burkina Faso,Burkina Faso,BF,,Early stage,6300000,6300000,USD,0,"Feasibility/ scoping completed, entering into design",Q1-2023,TBD,4,Q2 2021,,,No,Yes,No,No,"The government (specifically, the Minsitry of Agriculture) is the main implementing partner.",,Yes,Yes,,Persistent gender inequality in rural agriculture and the need for more gender transformative results to create lasting change for women.,"A set of interventions have been identified to complement an IFAD loan in implementation. Projected interventions centre on: (1) transforming gender social norms, (2) improving women's land rights, (3) strengthening women's access to larger-scale and longer-term financial credit, (4) improving women's business and entrepreneurial skills, and (5) increasing women's role in leadership and decision-making in value chain organizations.","1,5,10","Smallholder farmers working in targeted value chains, their grassroots farmers' organizations, and entrepreneurs involved in related activities along the targeted value chains in 4 regions: Sud-Ouest, Hauts-Bassins, Cascades and Boucle du Mouhoun.",97000,Households,,,
Colombia+Competitiva: SECO,Colombia,Colombia,CO,,Late stage,660000,660000,USD,0,Late-stage (RBF Instrument Design),Q2-2022,6-12 months,2,Q4-2021,Pilot the use of results-based financing (RBF) instruments to improve the impact of interventions that aim to strengthen productive chains.,,No,No,No,Yes,,,Yes,,,Increase economic and ecological growth through the development of sustainable value chains.,"Coffee: Traditional technical assistance to improve coffee quality and increase exports. Cacao: Construction of a production plant to develop, produce, and export products based on cacao residues.",,"Sucafina - Coffee: Coffee producers in Planadas, Tolima
Casa Luker – Cacao: Cacao farm in Villanueva, Casanare",Approx. 300 coffee producers - TBD cacao producers,,,,
RBF for Health System Strengthening in Lesotho,Lesotho,Lesotho,LS,,Early stage,,TBD ~ USD 4.000.000,,,Feasibility/ scoping completed,TBD,TBD,4,Q1-2023,,,No,Yes,No,No,Implement/roll out complementary HSS strategies and oversee implementation,,Yes,No,,"The Lesotho health system faces significant challenges resulting in poor health outcomes that hinder productivity and impose a significant burden on the Government of Lesotho (“GoL”) and households in terms of health care expenditures, as well as hampers efforts to alleviate poverty in a country where 57% of the population lives in extreme poverty. ","(1) Create an enabling environment to improve primary health care (PHC) delivery by driving reforms in the planning, budgeting, and health financing policies and processes.
(2) Improve District Health Management Teams' (DHMTs) performance through incentives",3,The Basotho people in all ten districtis of Lesotho.,~TBD,,,,
